codigo_postal,localidad,partido,provincia
1628,Villa Albertina,-,Buenos Aires
1733,Plomer,-,Buenos Aires
1807,Barrio Stella Maris,-,Buenos Aires
1848,Las Malvinas (Parada Fcdfs.),-,Buenos Aires
2113,Arroyo Del Medio,-,Buenos Aires
2346,Estingana,-,Buenos Aires
2813,Arroyo De La Cruz,-,Buenos Aires
3403,Santos Lugares,-,Buenos Aires
3445,Costa Bonita,-,Buenos Aires
3713,Manuel Ocampo,-,Buenos Aires
6023,Leandro N.Alem,-,Buenos Aires
6063,Porvenir,-,Buenos Aires
6332,Benitez,-,Buenos Aires
6438,Masurel,-,Buenos Aires
6508,Emilio Lamarca,-,Buenos Aires
6508,Stroeder,-,Buenos Aires
6567,Colonia Inchausti,-,Buenos Aires
6604,La Verde (Pdo.Mercedes),-,Buenos Aires
7122,Naposta,-,Buenos Aires
7134,Nicolas Levalle,-,Buenos Aires
7142,Ombucta,-,Buenos Aires
7142,Paso Alsina,-,Buenos Aires
7164,San Martin De Tours,-,Buenos Aires
7215,El Socorro,-,Buenos Aires
8010,Kilometro 11 (Apeadero Fcgr.),-,Buenos Aires
8010,Kilometro 9 Sud (Apeadero Fcgr.),-,Buenos Aires
8133,Avestruz,-,Buenos Aires
8138,La Adela,-,Buenos Aires
8172,Arroyo Corto (Pdo. Saavedra),-,Buenos Aires
6509,Del Valle,25 de Mayo,Buenos Aires
6509,Escuela Agricola Salesiana,25 de Mayo,Buenos Aires
6621,Anderson,25 de Mayo,Buenos Aires
6621,Gobernador Ugarte,25 de Mayo,Buenos Aires
6621,Henry Bell,25 de Mayo,Buenos Aires
6621,Presidente Quintana,25 de Mayo,Buenos Aires
6660,25 De Mayo,25 de Mayo,Buenos Aires
6660,Laguna Las Mulitas,25 de Mayo,Buenos Aires
6660,Ortiz De Rosas,25 de Mayo,Buenos Aires
6660,Santiago Garbarini,25 de Mayo,Buenos Aires
6661,Blas Durañona,25 de Mayo,Buenos Aires
6661,Lucas Monteverde,25 de Mayo,Buenos Aires
6661,Mamaguita,25 de Mayo,Buenos Aires
6661,Pueblitos,25 de Mayo,Buenos Aires
6661,San Enrique (Pdo. 25 De Mayo),25 de Mayo,Buenos Aires
6663,Juan Vela,25 de Mayo,Buenos Aires
6663,Juan Vucetich (Apeadero Fcgu),25 de Mayo,Buenos Aires
6663,Norberto De La Riestra,25 de Mayo,Buenos Aires
6665,Ernestina,25 de Mayo,Buenos Aires
6665,La Gloria,25 de Mayo,Buenos Aires
6665,Pedernales,25 de Mayo,Buenos Aires
6665,San Jose (Ernestina, Pdo. 25 De Mayo),25 de Mayo,Buenos Aires
6667,Agustin Mosconi,25 de Mayo,Buenos Aires
6667,Islas,25 de Mayo,Buenos Aires
6667,La Rabia,25 de Mayo,Buenos Aires
6667,La Rubia,25 de Mayo,Buenos Aires
6667,Martin Berraondo,25 de Mayo,Buenos Aires
6667,Valdez,25 de Mayo,Buenos Aires
6341,Colonia Murature,Adolfo Alsina,Buenos Aires
6341,Colonia Naveira,Adolfo Alsina,Buenos Aires
6341,Chopi Talo,Adolfo Alsina,Buenos Aires
6341,El Parque,Adolfo Alsina,Buenos Aires
6341,Francisco Murature,Adolfo Alsina,Buenos Aires
6341,La Pala,Adolfo Alsina,Buenos Aires
6343,Los Gauchos (Apeadero Fcdfs.),Adolfo Alsina,Buenos Aires
6343,Maza,Adolfo Alsina,Buenos Aires
6343,Thames,Adolfo Alsina,Buenos Aires
6343,Villa Maza,Adolfo Alsina,Buenos Aires
6430,Adolfo Alsina,Adolfo Alsina,Buenos Aires
6430,Carhue,Adolfo Alsina,Buenos Aires
6430,Fatralo,Adolfo Alsina,Buenos Aires
6430,Juan V. Cilley,Adolfo Alsina,Buenos Aires
6430,Pocito,Adolfo Alsina,Buenos Aires
6430,Rolito (Estacion Fcgb),Adolfo Alsina,Buenos Aires
6431,Estacion Lago Epecuen,Adolfo Alsina,Buenos Aires
6431,Lago Epecuen,Adolfo Alsina,Buenos Aires
6433,Arturo Vatteone,Adolfo Alsina,Buenos Aires
6441,Colonia Baron Hirsch,Adolfo Alsina,Buenos Aires
6441,Rivera,Adolfo Alsina,Buenos Aires
6443,Arano,Adolfo Alsina,Buenos Aires
6443,Epumer,Adolfo Alsina,Buenos Aires
6443,Malabia,Adolfo Alsina,Buenos Aires
6443,Tres Lagunas,Adolfo Alsina,Buenos Aires
6443,Yutuyaco,Adolfo Alsina,Buenos Aires
8185,Campo Del Norte Americano,Adolfo Alsina,Buenos Aires
8185,Campo La Zulema,Adolfo Alsina,Buenos Aires
8185,Campo Los Aromos,Adolfo Alsina,Buenos Aires
8185,Campo San Juan,Adolfo Alsina,Buenos Aires
8185,Canonigo Gorriti,Adolfo Alsina,Buenos Aires
8185,Colonia La Estela,Adolfo Alsina,Buenos Aires
8185,Colonia La Estrella,Adolfo Alsina,Buenos Aires
8185,Colonia Lapin,Adolfo Alsina,Buenos Aires
8185,Colonia Leven,Adolfo Alsina,Buenos Aires
8185,Colonia Phillipson No. 1,Adolfo Alsina,Buenos Aires
8185,Colonia Santa Mariana,Adolfo Alsina,Buenos Aires
